Date,Ride Name,Distance (km),Duration (hh:mm:ss),Average Speed (km/h),Elevation Gain (m),Calories
2024-06-01,Morning Ride,25.3,01:15:20,20.2,350,700
2024-06-02,Mountain Climb,47.6,02:45:10,17.3,1200,1200
2024-06-03,Evening Recovery Ride,18.2,00:50:40,21.5,180,450
2024-06-05,Race Day Training,60.5,02:00:30,30.1,500,1400
2024-06-07,Flat Road Sprint,35.4,01:05:25,32.5,100,800
2024-06-10,Hill Intervals,22.0,01:20:15,16.5,600,650
2024-06-12,Beach Cruise,15.3,00:45:00,20.4,50,350
2024-06-15,Century Ride,100.0,04:25:40,22.6,950,2500
2024-06-17,Evening Ride,28.4,01:10:10,24.3,300,750
2024-06-20,Long Weekend Ride,75.2,03:10:55,23.6,850,1900
